# y+ ()           
# Time            	patch             	min               	max               	average           
300               	fixedWalls	1.4204718772e-03	2.1774652816e+00	3.0765584442e-01
302               	movingWall	6.1885703550e-01	2.7582647033e+00	1.0352309226e+00
302               	fixedWalls	8.2473192381e-04	2.1774777780e+00	3.0316102551e-01
304               	movingWall	6.0844557110e-01	2.7582193694e+00	1.0336326833e+00
304               	fixedWalls	1.8857592763e-03	2.1784098013e+00	3.0554329988e-01
306               	movingWall	6.1694101049e-01	2.7582809183e+00	1.0341503792e+00
306               	fixedWalls	8.6729634687e-04	2.1770426774e+00	3.0654986988e-01
308               	movingWall	6.1486424052e-01	2.7582327566e+00	1.0350242252e+00
308               	fixedWalls	8.2041086683e-04	2.1781198812e+00	3.0546409740e-01
310               	movingWall	6.0922972940e-01	2.7582404930e+00	1.0333770256e+00
310               	fixedWalls	2.0857945400e-03	2.1780298512e+00	3.0693680964e-01
312               	movingWall	6.1968061305e-01	2.7582801630e+00	1.0350023997e+00
312               	fixedWalls	8.1194475538e-04	2.1771012182e+00	3.0326246979e-01
314               	movingWall	6.1057040355e-01	2.7582131576e+00	1.0343451517e+00
314               	fixedWalls	2.1633297016e-03	2.1784553625e+00	3.0769099659e-01
316               	movingWall	6.1303965646e-01	2.7582663032e+00	1.0336394835e+00
316               	fixedWalls	1.4599982085e-03	2.1774525645e+00	3.0670976273e-01
318               	movingWall	6.1792343856e-01	2.7582629725e+00	1.0352142621e+00
318               	fixedWalls	1.5667563524e-03	2.1775580248e+00	3.0300715538e-01
320               	movingWall	6.0819753583e-01	2.7582203954e+00	1.0336586540e+00
320               	fixedWalls	1.8265792904e-03	2.1784167718e+00	3.0450090495e-01
322               	movingWall	6.1691596228e-01	2.7582800720e+00	1.0343119004e+00
322               	fixedWalls	1.0790994611e-03	2.1770959943e+00	3.0559289414e-01
324               	movingWall	6.1440719503e-01	2.7582295993e+00	1.0350834557e+00
324               	fixedWalls	1.2099452183e-03	2.1781873123e+00	3.0502669193e-01
326               	movingWall	6.0936278056e-01	2.7582418616e+00	1.0334902220e+00
326               	fixedWalls	2.0629882556e-03	2.1779991084e+00	3.0615084807e-01
328               	movingWall	6.1927661023e-01	2.7582798827e+00	1.0350534566e+00
328               	fixedWalls	1.2347819447e-03	2.1771618963e+00	3.0237697227e-01
330               	movingWall	6.0998614987e-01	2.7582141065e+00	1.0343154253e+00
330               	fixedWalls	2.5048618837e-03	2.1784532879e+00	3.0669493336e-01
332               	movingWall	6.1274154233e-01	2.7582675131e+00	1.0336439023e+00
332               	fixedWalls	1.5676368028e-03	2.1774639995e+00	3.0578585610e-01
334               	movingWall	6.1746429257e-01	2.7582601058e+00	1.0353142989e+00
334               	fixedWalls	1.7914004750e-03	2.1776436666e+00	3.0251760658e-01
336               	movingWall	6.0803413952e-01	2.7582198198e+00	1.0337412497e+00
336               	fixedWalls	2.4476274087e-03	2.1784351020e+00	3.0396175876e-01
338               	movingWall	6.1712469548e-01	2.7582777087e+00	1.0344942090e+00
338               	fixedWalls	1.1936179717e-03	2.1771670737e+00	3.0530488033e-01
340               	movingWall	6.1404196253e-01	2.7582308028e+00	1.0351120996e+00
340               	fixedWalls	9.2234905012e-04	2.1781766605e+00	3.0434062218e-01
342               	movingWall	6.0918935304e-01	2.7582418095e+00	1.0335364859e+00
342               	fixedWalls	2.1183471018e-03	2.1780214869e+00	3.0559783846e-01
344               	movingWall	6.1852569362e-01	2.7582818557e+00	1.0349767635e+00
344               	fixedWalls	1.1130623532e-03	2.1771711853e+00	3.0254395910e-01
346               	movingWall	6.0989983296e-01	2.7582150357e+00	1.0343938664e+00
346               	fixedWalls	2.4120961781e-03	2.1784797724e+00	3.0667564035e-01
348               	movingWall	6.1223418238e-01	2.7582650992e+00	1.0336851395e+00
348               	fixedWalls	1.6792479181e-03	2.1775432020e+00	3.0580160693e-01
350               	movingWall	6.1773777530e-01	2.7582605295e+00	1.0354781691e+00
350               	fixedWalls	1.5424994292e-03	2.1776621836e+00	3.0181023050e-01
352               	movingWall	6.0794566471e-01	2.7582170342e+00	1.0338785467e+00
352               	fixedWalls	1.4764538797e-03	2.1784793235e+00	3.0485878494e-01
354               	movingWall	6.1686427376e-01	2.7582777240e+00	1.0344865478e+00
354               	fixedWalls	1.1449956200e-03	2.1771976184e+00	3.0599994012e-01
